P01316903A1040|0 17|RNA polymerase II
P01331060A0768|98 101|nce
P01321277A0664|98 101|ain
P00803867A0315|98 101|nce
P01297332A0983|98 101|gen
P00857024A0888|98 101|din
P01457380A0000|98 101|cin
P01420177A1065|99 113|protein kinase
P01406677A0000|99 108|myoglobin
P01420177A1065|99 106|protein
P01452037A0000|99 105|kinase
P01454819A0000|99 104|erase
P01406703A1435|99 104|eptor
P01420363T0000|99 104|otein
P00881630A0000|99 104|actor
P01282014A0275|99 104|group
P01371272A1167|99 104|erase
P01372900A1017|99 103|unit
P01339373T0000|99 103|tein
P01354506T0000|99 103|olog
P00872922A0204|99 103|vity
P01357528A0084|99 103|tein
P01358880A0251|99 102|nce
P01333035T0000|99 102|ase
P01310935T0000|99 102|ein
P01358190A0654|99 102|ain
P01282014A0275|99 102|gro
P01157191A0536|99 102|gen
P01419945A1386|99 102|ene
P01426635A0496|99 102|nin
P01399206A0375|99 102|orm
P01297332A0983|99 102|ene
P01456888A0074|99 102|gen
P01395755A1023|99 102|gen
P00710372A0302|99 102|fic
P00589073A0000|99 102|pha
P00962222A0633|99 102|ter
P01350780A0184|100 121|gamma-glutamyl kinase
P01168607A0672|100 111|prothrombin
P01339373T0000|100 110|ein kinase
P01398074A0697|100 106|enzyme
P01333317A1008|100 106|factor
P01420177A1065|100 106|rotein
P01452037A0000|100 105|inase
P01350780A0184|100 105|gamma
P01454819A0000|100 104|rase
P01406703A1435|100 104|ptor
P01371272A1167|100 104|rase
P00881630A0000|100 104|ctor
P01337142A2043|100 104|cell
P01420363T0000|100 104|tein
P01372900A1017|100 103|nit
P01354506T0000|100 103|log
P01339373T0000|100 103|ein
P01209618A0409|100 103|tin
P01448107A0361|100 103|nce
P01458170A0155|100 103|eta
P01464606A0344|100 103|ter
P00303189A0247|100 103|fic
P01389585A0825|100 103|din
P01357528A0084|100 103|ein
P00628990A0000|100 103|ter
P00089778A0000|100 103|gen
P01339373T0000|101 110|in kinase
P00122718A0500|101 109|activity
P01429624A0328|101 109|activity
P00227393T0000|101 107|system
P01377818A0468|101 106|alpha
P01333317A1008|101 106|actor
P01420177A1065|101 106|otein
P01452037A0000|101 105|nase
P01460054A0968|101 105|gene
P01309244A0798|101 105|cell
P01454819A0000|101 104|ase
P01247475A0000|101 104|ter
P01371272A1167|101 104|ase
P01420363T0000|101 104|ein
P00512215A0000|101 104|ter
P01309860A0559|101 104|nce
P00589073A0000|101 104|ase
P00494659A0391|101 104|ide
P00881630A0000|101 104|tor
P01460054A0968|101 104|gen
P01406703A1435|101 104|tor
P00503336A0285|102 122|alkaline phosphatase
P01328681A0149|102 112|transcript
P01339373T0000|102 110|n kinase
P01321336A0731|102 109|protein
P01454518A0336|102 109|homolog
P01406677A0000|102 108|globin
P01420363T0000|102 107|inase
P01098592A0567|102 107|onset
P00086313A0000|102 107|group
P01279197T0000|102 106|agen
P01398074A0697|102 106|zyme
P01080374A0709|102 106|form
P01384165A0000|102 106|gene
P01333317A1008|102 106|ctor
P01377818A0468|102 106|lpha
P01420177A1065|102 106|tein
P01093847A0000|102 105|tic
P01460054A0968|102 105|ene
P01452703A0782|102 105|ase
P00010943A0733|102 105|tic
P01337142A2043|102 105|lls
P01272816A0000|102 105|min
P00086313A0000|102 105|gro
P01350780A0184|102 105|mma
P01384165A0000|102 105|gen
P01452037A0000|102 105|ase
P01420177A1065|103 113|ein kinase
P00342623A0228|103 111|activity
P01316903A1040|103 109|enzyme
P01454518A0336|103 109|omolog
P01321336A0731|103 109|rotein
P01420363T0000|103 108|nases
P01202616A0466|103 108|lamin
P01406677A0000|103 108|lobin
P01279197T0000|103 107|gene
P01098592A0567|103 107|nset
P01394200A0592|103 107|ound
P00521732T0000|103 107|lpha
P01420363T0000|103 107|nase
P01279197T0000|103 106|gen
P00477794T0000|103 106|rin
P01459885A0705|103 106|ase
P01464606A0344|103 106|gen
P00112627A0542|103 106|orm
P01456888A0074|103 106|p55
P01420177A1065|103 106|ein
P01171935A0313|103 106|eta
P01384165A0000|103 106|ene
P01080374A0709|103 106|orm
P00842406A0771|103 106|nit
P01103390A0149|103 106|pha
P01333317A1008|103 106|tor
P01377818A0468|103 106|pha
P01326557T0000|104 116|proteoglycan
P01420177A1065|104 113|in kinase
P00598012A0174|104 113|prolactin
P01458170A0155|104 112|activity
P01339373T0000|104 110|kinase
P01321336A0731|104 109|otein
P00432615A0541|104 109|gamma
P01454518A0336|104 109|molog
P00962222A0633|104 107|tic
P01334428A1102|104 107|min
P00693987T0001|104 107|tor
P00521732T0000|104 107|pha
P01259027A0416|104 107|ter
P01241866A0682|104 107|pha
P01082833A0000|104 107|cin
P01420363T0000|104 107|ase
P00929418T0001|104 107|ase
P01279197T0000|104 107|ene
P01420177A1065|105 113|n kinase
P01371272A1167|105 110|alpha
P01339373T0000|105 110|inase
P01389585A0825|105 109|agen
P00122718A0500|105 109|vity
P01321336A0731|105 109|tein
P01299489A0788|105 109|form
P01429624A0328|105 109|vity
P01454518A0336|105 109|olog
P01316903A1040|105 109|zyme
P01371413A0742|105 108|ter
P01446828A1088|105 108|AP2
P01103390A0149|105 108|ase
P00173860A0475|105 108|ter
P01413984A0737|105 108|ter
P00450367T0000|105 108|ter
P01202616A0466|105 108|min
P01295500A0366|105 108|fic
P01241866A0682|106 111|ase-2
P01371272A1167|106 110|lpha
P01447189T0000|106 110|cell
P01339373T0000|106 110|nase
P01389585A0825|106 109|gen
P00425547A0000|106 109|pha
P01241866A0682|106 109|ase
P01447189A1546|106 109|ule
P01321336A0731|106 109|ein
P00839378A0649|106 109|ase
P01454518A0336|106 109|log
P00432615A0541|106 109|mma
P01171935A0313|106 109|min
P00621626T0000|106 109|ter
P01402647A0114|106 109|nce
P01309587A0715|106 109|din
P01299489A0788|106 109|orm
P00935526A0000|107 118|sensitivity
P01279352A0473|107 114|protein
P01420177A1065|107 113|kinase
P00224013A0661|107 112|group
P00342623A0228|107 111|vity
P01241866A0682|107 111|se-2
P01371272A1167|107 110|pha
P01278251A0000|107 110|ene
P00836637A0000|107 110|ein
P00224013A0661|107 110|gro
P01339373T0000|107 110|ase
P01284595A0102|107 110|nce
P00232456T0000|107 110|mia
P00555492A1034|107 110|din
P00935526A0000|108 118|ensitivity
P01310154A0879|108 115|protein
P01279352A0473|108 114|rotein
P01420177A1065|108 113|inase
P01458170A0155|108 112|vity
P00999494A0000|108 112|agen
P00521732T0000|108 111|ase
P00819176T0001|108 111|ter
P01448107A0361|108 111|min
P01048968A0152|108 111|cin
P01331501A0397|108 111|ter
P00767161A0837|108 111|min
P00753237A0000|108 111|PAI
P01400217T0000|108 111|pha
P01241866A0682|108 111|e-2
P00837811A0675|108 111|orm
P01215067A0000|108 111|ase
P01328854T0000|109 116|subunit
P01310154A0879|109 115|rotein
P01420177A1065|109 114|nases
P01279352A0473|109 114|otein
P01420177A1065|109 113|nase
P01406677A0000|109 113|gene
P00598012A0174|109 113|ctin
P00557559A0170|109 113|agen
P01427034A0440|109 113|gene
P01406677A0000|109 112|gen
P00999494A0000|109 112|gen
P01427034A0440|109 112|gen
P01228258A0000|109 112|can
P00616575A0000|109 112|ter
P01093845A0208|109 112|ide
P01371181A0688|109 112|ter
P01378127A0841|110 118|response
P01331057A0000|110 117|oxidase
P00432615A0541|110 117|lobulin
P01328854T0000|110 116|ubunit
P01310154A0879|110 115|otein
P01459885A0705|110 115|alpha
P00722298A0619|110 115|group
P01372900A0448|110 115|alpha
P01279352A0473|110 114|tein
P01420177A1065|110 113|ase
P00476572A0139|110 113|ase
P01404612A0303|110 113|cin
P00598012A0174|110 113|tin
P00918965A0728|110 113|ene
P01427034A0440|110 113|ene
P01330077A0000|110 113|mia
P00722298A0619|110 113|gro
P01448917A0775|110 113|nce
P00926751A0000|110 113|ter
P01400775A0435|110 113|ain
P00555495T0000|110 113|nce
P00913623A0242|110 113|pha
P00557559A0170|110 113|gen
P01468625A0282|110 113|ase
P01299489A0788|110 113|nce
P00386251A0899|110 113|ide
P01406677A0000|110 113|ene
P00503336A0285|111 122|phosphatase
P00935526A0000|111 118|itivity
P00725752T0001|111 116|lator
P00985279A0493|111 116|group
P01334518T0000|111 116|group
P01328854T0000|111 116|bunit
P00485615A0935|111 116|tance
P01310154A0879|111 115|tein
P01372900A0448|111 115|lpha
P01387105A0933|111 115|cell
P01459885A0705|111 115|lpha
P01363080A0710|111 115|agen
P00112627A0542|111 114|din
P01279352A0473|111 114|ein
P01334518T0000|111 114|gro
P01426635A0496|111 114|min
P00985279A0493|111 114|gro
P00485615A0935|111 114|tan
P01228258A0000|111 114|nce
P01285009A0000|111 114|eta
P00986925A0002|112 120|activity
P01420363T0000|112 118|TIMP-1
P01429836A0457|112 117|Vps1p
P01328854T0000|112 116|unit
P01280807A0575|112 115|tor
P01429596A1669|112 115|tin
P01363080A0710|112 115|gen
P01380454A0451|112 115|ter
P00641395A0441|112 115|ter
P01420363T0000|112 115|TIM
P01310154A0879|112 115|ein
P01372900A0448|112 115|pha
P01384229A0175|112 115|nce
P01459885A0705|112 115|pha
P00954819A1041|112 115|rin
P01316903A0296|112 114|II
P01420363T0000|113 118|IMP-1
P01326557T0000|113 116|can
P01309815A0972|113 116|ain
P01333317A1008|113 116|PRF
P00725752T0001|113 116|tor
P01328854T0000|113 116|nit
P01116466A0185|113 116|tin
P00485615A0935|113 116|nce
P00534613A0000|113 116|oll
P00553858A0000|113 116|ter
P00926751A0000|113 116|ial
P01316903A1040|114 131|RNA polymerase II
P01375913A0484|114 128|RNA polymerase
P01316903A1040|114 128|RNA polymerase
P01400217T0000|114 125|sensitivity
P01116466A0185|114 124|ing factor
P01339468A0272|114 121|protein
P01406630A0965|114 121|protein
P01404401A0740|114 118|gene
P00935526A0000|114 118|vity
P01333047A0404|114 118|cell
P00224013A0661|114 118|beta
P00521732T0000|114 117|fic
P01404401A0740|114 117|gen
P01309593A0095|114 117|ter
P01371181A0688|114 117|tic
P01379032A0495|114 117|ter
P00474064A0205|114 117|ide
P01331057A0000|114 117|ase
P00985276A0000|114 117|mis
P00445720A0263|114 117|ide
P01400217T0000|115 125|ensitivity
P01350780A0184|115 121|kinase
P01406630A0965|115 121|rotein
P01339468A0272|115 121|rotein
P01119658A0000|115 119|vity
P01429836A1205|115 119|cell
P00503336A0285|115 118|pha
P01404612A0303|115 118|can
P00224013A0661|115 118|eta
P01404401A0740|115 118|ene
P01414219A0319|115 118|nce
P00015731A0090|115 118|ide
P00992316A0178|115 118|ter
P01469047A1606|116 123|protein
P01350780A0184|116 121|inase
P01406630A0965|116 121|otein
P01215067A0000|116 121|menin
P01339468A0272|116 121|otein
P00986925A0002|116 120|vity
P00534613A0000|116 120|agen
P01447189T0000|116 119|mia
P00837262A0000|116 119|nin
P01410071T0000|116 119|nin
P01333047A0404|116 119|lls
P01431602A0229|116 119|ter
P01406688A0898|116 119|min
P01469047A1606|117 123|rotein
P01320255A0795|117 123|factor
P01350780A0184|117 122|nases
P00601401A0181|117 122|delta
P01350780A0184|117 121|nase
P01339468A0272|117 121|tein
P01406630A0965|117 121|tein
P00027967A0207|117 121|form
P01324404A0813|117 120|ter
P00534613A0000|117 120|gen
P01429836A1205|117 120|lls
P01090210A0417|117 120|sin
P01375913A0484|118 128|polymerase
P01372900A1017|118 128|polymerase
P01316903A1040|118 128|polymerase
P01309593A0095|118 126|activity
P01324404A1208|118 126|activity
P01400217T0000|118 125|itivity
P01116466A0185|118 124|factor
P01469047A1606|118 123|otein
P01320255A0795|118 123|actor
P01350780A0184|118 121|ase
P00594617A0192|118 121|ide
P01339468A0272|118 121|ein
P00119339A0400|118 121|ain
P00027967A0207|118 121|orm
P01406630A0965|118 121|ein
P00232456T0000|118 121|cin
P01215067A0000|118 121|nin
P01310899A0339|118 121|ain
P01334493A0289|119 127|receptor
P01396601A0986|119 126|homolog
P01471602A0362|119 125|enzyme
P01116466A0185|119 124|actor
P00383169A0000|119 123|tive
P01469047A1606|119 123|tein
P01320255A0795|119 123|ctor
P00503336A0285|119 122|ase
P00330364A0132|119 122|ain
P00755869A0216|119 122|nit
P00601401A0181|119 122|lta
P00881630A0000|119 122|ase
P00056837A0000|119 122|cin
P01420363T0000|120 130|transcript
P01327758A0000|120 130|E2 protein
P01309587A0715|120 127|protein
P01334493A0289|120 127|eceptor
P01396601A0986|120 126|omolog
P01398104A0834|120 126|factor
P01116466A0185|120 124|ctor
P01324404A0813|120 123|min
P00188387A0975|120 123|ase
P01309815A0972|120 123|nce
P01237206A0199|120 123|min
P01087288T0000|120 123|cin
P01469047A1606|120 123|ein
P01320255A0795|120 123|tor
P00540707A0255|120 123|ase
P01372900A0448|120 123|ase
P00868301A0043|120 123|min
P00722652A0118|121 128|surface
P01309587A0715|121 127|rotein
P00304310A0000|121 127|period
P01334493A0289|121 127|ceptor
P00755869A0216|121 126|torin
P01396601A0986|121 126|molog
P01398104A0834|121 126|actor
P01400217T0000|121 125|vity
P01471602A0362|121 125|zyme
P01396592A1113|121 125|gene
P01324385A0329|121 125|tive
P01116466A0185|121 124|tor
P00450559A0269|121 124|ter
P00755869A0216|121 124|tor
P01354506T0000|121 124|tor
P00594617A0192|121 124|nce
P01285358A0396|121 124|ase
P01080374A0709|121 124|ase
P01349837T0000|121 124|min
P01396592A1113|121 124|gen
P01464606A0344|122 133|fibronectin
P01457380A0000|122 132|transcript
P00722652A0118|122 128|urface
P01296815A0059|122 128|pseudo
P01309587A0715|122 127|otein
P01334493A0289|122 127|eptor
P01309593A0095|122 126|vity
P01398104A0834|122 126|ctor
P01324404A1208|122 126|vity
P01396432A0388|122 126|form
P01396601A0986|122 126|olog
P01285009A0000|122 125|ein
P01396592A1113|122 125|ene
P01326557T0000|122 125|ain
P00361340A0529|122 125|fic
P01372900A0448|122 125|ein
P01392012A0228|123 131|activity
P01327758A0000|123 130|protein
P01333053A0110|123 130|peptide
P01375913A0484|123 128|erase
P01316903A1040|123 128|erase
P01372900A1017|123 128|erase
P01309587A0715|123 127|tein
P01334493A0289|123 127|ptor
P01396432A0388|123 126|orm
P01009451A0728|123 126|rin
P00725752T0001|123 126|sin
P00755869A0216|123 126|rin
P01396601A0986|123 126|log
P01398104A0834|123 126|tor
P01467828A0542|123 126|mia
P01036714A0072|123 126|ase
P00601401A0181|123 126|log
P01021091T0000|123 126|sin
P01327758A0000|124 130|rotein
P01333053A0110|124 130|eptide
P00378492A0475|124 129|renin
P01375913A0484|124 128|rase
P01437562A0462|124 128|tide
P01316903A1040|124 128|rase
P01460054A0968|124 128|cell
P01372900A1017|124 128|rase
P00722652A0118|124 128|face
P01385462A0151|124 127|ter
P00747722A0486|124 127|ter
P01309587A0715|124 127|ein
P00599601A0260|124 127|ter
P01334493A0289|124 127|tor
P00234264A0164|124 127|min
P00437749A0242|124 127|ain
P01119658A0000|124 127|pha
P01050144A0297|124 127|ain
P01420363A0818|124 127|tor
P01400396A1265|125 139|protein kinase
P00429949A0000|125 134|prolactin
P01357528A0084|125 133|fimbriae
P01400396A1265|125 132|protein
P01327758A0000|125 130|otein
P01333053A0110|125 130|ptide
P01329039A0239|125 129|gene
P01375913A0484|125 128|ase
P01429624A0328|125 128|ase
P01437562A0462|125 128|ide
P01395755A1023|125 128|min
P01316903A1040|125 128|ase
P00377466A0188|125 128|ter
P01329039A0239|125 128|gen
P00597715A0256|125 128|nce
P01372900A1017|125 128|ase
P01048968A0152|126 140|beta-lactamase
P01237206A0199|126 133|taining
P01464606A0344|126 133|onectin
P01400396A1265|126 132|rotein
P01386897A0000|126 132|cyclin
P01316903A1040|126 131|se II
P01327758A0000|126 130|tein
P01333053A0110|126 130|tide
P01048968A0152|126 130|beta
P00378492A0475|126 129|nin
P01329039A0239|126 129|ene
P01460054A0968|126 129|lls
P00962222A0633|126 129|ter
P01325221A0870|127 137|MAP kinase
P01388160A1102|127 134|peptide
P01464606A0344|127 133|nectin
P00870859A0121|127 133|factor
P01400396A1265|127 132|otein
P01392012A0228|127 131|vity
P01396432A0388|127 130|nce
P01326329A0703|127 130|nce
P01237206A0199|127 130|ain
P00183063A0300|127 130|can
P01340470A0000|127 130|ain
P01333053A0110|127 130|ide
P00304806A0760|127 130|nce
P01048968A0152|127 130|eta
P01431380A0244|127 130|tic
P01327758A0000|127 130|ein
P01321336A0731|127 130|min
P01320255A0795|127 130|din
P01316903A1040|127 130|e I
P01385462A0151|127 130|min
P00909114A0000|127 130|ide
P01429596A1669|128 139|tion factor
P01375224A0152|128 136|activity
P01388160A1102|128 134|eptide
P01420177A1065|128 134|enzyme
P01464606A0344|128 133|ectin
P00234264A0164|128 133|pyrin
P00857024A0888|128 133|media
P00870859A0121|128 133|actor
P01294345A0591|128 132|tive
P01400396A1265|128 132|tein
P01296815A0059|128 132|gene
P01296815A0059|128 131|gen
P01103390A0149|128 131|ase
P01252223A0347|128 131|rin
P00232456T0000|128 131|ide
P00086313A0000|128 131|din
P01339773A0778|128 131|ase
P01402647A0114|128 131|pha
P01400396A1265|129 139|ein kinase
P01331501A0397|129 137|cyclin A
P01228882A0437|129 137|response
P01331501A0397|129 135|cyclin
P01372900A1017|129 134|chain
P01388160A1102|129 134|ptide
P01464606A0344|129 133|ctin
P01321332A0970|129 133|gene
P00870859A0121|129 133|ctor
P01237206A0199|129 132|nin
P01400396A1265|129 132|ein
P01093845A0208|129 132|fic
P01398068A0948|129 132|nce
P01321332A0970|129 132|gen
P00183063A0300|129 132|nce
P01427457A0000|129 132|rin
P01296815A0059|129 132|ene
P01324639T0000|129 132|cin
P01316903A1040|129 131|II
P01328854T0000|130 153|phosphoglycerate mutase
P01429596A1669|130 139|on factor
P01400396A1265|130 139|in kinase
P00378492A0475|130 138|activity
P01082833A0000|130 138|response
P01384229A0175|130 134|gene
P01388160A1102|130 134|tide
P00881630A0000|130 134|ound
P00429949A0000|130 134|ctin
P01420177A1065|130 134|zyme
P01215067A0000|130 133|ule
P01418860A0797|130 133|ase
P01464606A0344|130 133|tin
P00870859A0121|130 133|tor
P00234264A0164|130 133|rin
P01459885A0705|130 133|ase
P01321332A0970|130 133|ene
P01384229A0175|130 133|gen
P00909114A0000|130 133|nce
P00819176T0001|130 133|ter
P01316903A1040|130 132|IA
P01400396A1265|131 139|n kinase
P00947327A0000|131 139|activity
P01333053A0110|131 138|hormone
P01325221A0870|131 137|kinase
P00733067A0188|131 136|stump
P01261005A0711|131 134|ter
P01384229A0175|131 134|ene
P00451192A0248|131 134|ter
P01388160A1102|131 134|ide
P00232456T0000|131 134|nce
P00481612A1121|131 134|tan
P00216939T0001|131 134|ide
P00846559A0000|131 134|ide
P01331292A1425|131 134|cin
P00429949A0000|131 134|tin
P01294345A0591|131 134|ene
P01168607A0672|131 134|min
P01372900A1017|131 134|ain
P00222827A0000|132 140|activity
P00681550A0000|132 140|response
P01325221A0870|132 137|inase
P01375224A0152|132 136|vity
P00668122A0414|132 135|tin
P00465681A0000|132 135|gen
P00833472A0907|132 135|ter
P01423454A0309|132 135|tor
P00970320A0000|132 135|ter
P01333053A0110|132 135|orm
P01406630A0545|133 140|protein
P01429596A1669|133 139|factor
P00503336A0285|133 139|minase
P01400396A1265|133 139|kinase
P01325221A0870|133 137|nase
P00962222A0633|133 136|pha
P00503336A0285|133 136|min
P01078982A0227|133 136|min
P00668122A0414|134 144|n molecule
P01402647A0114|134 141|surface
P01310178A0876|134 141|peptide
P01406630A0545|134 140|rotein
P01429596A1669|134 139|actor
P01446828A1088|134 139|NF-E1
P00503336A0285|134 139|inase
P01400396A1265|134 139|inase
P00378492A0475|134 138|vity
P00712117A0521|134 138|ctor
P01375913A0484|134 137|ter
P00722298A0619|134 137|nce
P01399206A0375|134 137|ide
P01460054A0478|134 137|din
P01325221A0870|134 137|ase
P00879329A0176|134 137|oll
P01116466A0185|134 137|III
P01309593A1092|134 137|ter
P01437562A0462|134 137|nce
P01116466A0185|134 136|II
P01402647A0114|135 141|urface
P01310178A0876|135 141|eptide
P00503336A0285|135 140|nases
P01406630A0545|135 140|otein
P01429596A1669|135 139|ctor
P00503336A0285|135 139|nase
P01400396A1265|135 139|nase
P00947327A0000|135 139|vity
P01425921A1286|135 138|nce
P01448917A0775|135 138|nce
P00962222A0633|135 138|ase
P01420363A0818|135 138|din
P01279352A1197|135 138|ter
P00712117A0521|135 138|tor
P00668122A0414|136 144|molecule
P01310178A0876|136 141|ptide
P00222827A0000|136 140|vity
P00879329A0176|136 140|loid
P01406630A0545|136 140|tein
P01429596A1669|136 139|tor
P00836637A0000|136 139|tic
P00503336A0285|136 139|ase
P01400396A1265|136 139|ase
P01447189A1546|136 139|yte
P01021091T0000|136 139|sin
P00221725A0523|136 139|ase
P00055040A0000|136 139|rin
P01317376A0981|136 139|ase
P00173860A0475|136 139|nit
P01339468A0272|136 139|log
P00628990A0000|136 139|ter
P00668122A0414|137 144|olecule
P00055040A0000|137 143|inogen
P01402647A0114|137 141|face
P01310178A0876|137 141|tide
P01048968A0152|137 140|ase
P00112627A0542|137 140|din
P01406630A0545|137 140|ein
P01383690A1023|137 140|ain
P01469047A1606|137 140|ain
P00993176A0066|138 148|hemoglobin
P00602622A0362|138 146|activity
P01245162A0262|138 144|minase
P01125117A0183|138 143|group
P00602702A0309|138 141|nce
P01435698A0000|138 141|tin
P01048020T0000|138 141|e I
P01125117A0183|138 141|gro
P00891370A0000|138 141|ein
P01450815A0337|138 141|ase
P01245162A0262|138 141|min
P01310178A0876|138 141|ide
P01452037A0000|139 164|triosephosphate isomerase
P01285009A0000|139 155|thymidine kinase
P01398071A0526|139 147|activity
P01394655A0615b|139 145|urease
P01245162A0262|139 144|inase
P00029555A0861|139 143|olog
P01324404A0813|139 143|beta
P01209618A0409|139 142|rin
P01279374A0396|139 142|T12
P00696858A0000|139 142|cin
P01406630A0965|139 142|din
P01373374A0735|139 142|nce
P01326329A0703|139 142|nce
P00456424A0000|140 146|rabbit
P01360180A0513|140 146|kinase
P00517890A0468|140 145|onset
P01245162A0262|140 144|nase
P00029555A0861|140 143|log
P01398073A0986|140 143|ain
P01348590A0000|140 143|ase
P01388160A1102|140 143|nce
P01324404A0813|140 143|eta
P00055040A0000|140 143|gen
P00118044A0000|141 149|activity
P01360180A0513|141 146|inase
P00517890A0468|141 145|nset
P00668122A0414|141 144|ule
P00985279A0493|141 144|ase
P00450367T0000|141 144|cin
P01327967A0668|141 144|rin
P01334428A1102|141 144|min
P01245162A0262|141 144|ase
P01459921A0000|141 144|nin
P00838152A0863|141 144|nce
P00993176A0066|142 148|globin
P01138330A0204|142 147|holin
P01400396A1265|142 146|beta
P01048020T0000|142 146|form
P01459885A0705|142 146|beta
P01360180A0513|142 146|nase
P00602622A0362|142 146|vity
P01431380A0244|142 146|ctor
P01394655A0615b|142 145|ase
P01313909A0526|142 145|nce
P00429949A0000|142 145|ule
P00168176A0000|142 145|eta
P01215067A0000|142 145|ase
P01409643A0618|142 145|ide
P01228258A0000|142 145|cin
P01460054A0478|142 145|ain
P01331086T0000|143 163|transcription factor
P01331086T0000|143 153|transcript
P01423454A0309|143 151|activity
P00993176A0066|143 148|lobin
P00836637A0000|143 147|form
P01398071A0526|143 147|vity
P01400396A1265|143 146|eta
P01048020T0000|143 146|orm
P01431380A0244|143 146|tor
P01459885A0705|143 146|eta
P01360180A0513|143 146|ase
P01350932A1123|143 146|hid
P01324404A1208|143 146|tic
P00264240A1843|143 146|ter
P01454819A0000|144 153|hydrolase
P01324404A0813|144 151|protein
P01083321X0000|144 148|vity
P01036714A0072|144 148|cell
P01278251A0000|144 147|ene
P01285009A0000|144 147|din
P01228258A0000|144 147|n-C
P00836637A0000|144 147|orm
P00846559A0000|144 147|cin
P01350932A1123|144 147|ide
P00837811A0675|144 147|tin
P01471602A0362|144 147|ase
P01324404A0813|145 151|rotein
P00118044A0000|145 149|vity
P01400401A0854|145 149|AMPD
P01019207A0232|145 148|gen
P00474064A0205|145 148|din
P01321332A0970|145 148|ter
P01244236A1122|145 148|ase
P01309587A0715|146 153|protein
P01324404A0813|146 151|otein
P01324639T0000|146 149|cin
P00377466A0188|146 149|ter
P01363080A0710|146 149|tic
P01413984A0737|146 149|rin
P01395755A1023|146 149|min
P01294345A0591|147 156|prolactin
P01309587A0715|147 153|rotein
P01413984A0737|147 153|inogen
P00921911A0159|147 152|onset
P01321277A0342|147 151|olog
P01324404A0813|147 151|tein
P01423454A0309|147 151|vity
P01429740A1065|147 151|gene
P01019207A0232|147 150|nin
P01429740A1065|147 150|gen
P00663166A0000|147 150|tin
P01103390A0149|147 150|mia
P01331086T0000|148 163|cription factor
P01471602A0362|148 157|inhibitor
P00089778A0000|148 156|activity
P01309587A0715|148 153|otein
P01454819A0000|148 152|olas
P01396572A0320|148 152|form
P00921911A0159|148 152|nset
P00627129A0944|148 152|beta
P01321277A0342|148 151|log
P01324404A0813|148 151|ein
P01409643A0618|148 151|fic
P01429740A1065|148 151|ene
P00836637A0000|148 151|nce
P01471602A0362|149 157|nhibitor
P01375224A0152|149 156|protein
P01285009A0000|149 155|kinase
P01309587A0715|149 153|tein
P01452037A0000|149 152|pha
P01348590A0000|149 152|CD4
P00476572A0139|149 152|ase
P01321337A1161|149 152|gro
P01093845A0208|149 152|can
P01396572A0320|149 152|orm
P01168607A0672|149 152|ter
P00627129A0944|149 152|eta
P00429893A0000|149 152|min
P00580151A0706|149 152|nce
P01159822A0353|149 152|ase
P01360294A0000|150 158|activity
P01471602A0362|150 157|hibitor
P01328681A0149|150 157|protein
P01380825A0622|150 157|protein
P01375224A0152|150 156|rotein
P01285009A0000|150 155|inase
P01215067A0000|150 155|menin
P01313715A0461|150 154|cell
P01328854T0000|150 153|ase
P00725534A0888|150 153|nce
P01413984A0737|150 153|gen
P00988572A0000|150 153|ter
P00105401A0635|150 153|nce
P01454819A0000|150 153|ase
P01427034A0440|150 153|nce
P01186344A0303|150 153|ter
P01309587A0715|150 153|ein
P01310899A0339|151 174|serine/threonine kinase
P01398071A0526|151 165|RNA polymerase
P01328681A0149|151 157|rotein
P01380825A0622|151 157|rotein
P01375224A0152|151 156|otein
P01285009A0000|151 155|nase
P00029555A0861|151 154|tor
P01420363A0818|151 154|AP1
P00155973A0387|151 154|ide
P00686836A0000|151 154|min
P00722298A0619|151 154|fic
P01331086T0000|152 163|tion factor
P00222102A0227|152 160|response
P01396444A0934|152 160|activity
P01333047A0404|152 159|protein
P01328681A0149|152 157|otein
P01380825A0622|152 157|otein
P00589073A0000|152 157|group
P00722298A0619|152 156|ican
P01437562A0462|152 156|gene
P01375224A0152|152 156|tein
P01380454A0451|152 156|cell
P00089778A0000|152 156|vity
P01294345A0591|152 156|ctin
P01285009A0000|152 155|ase
P00819176T0001|152 155|oll
P00589073A0000|152 155|gro
P01215067A0000|152 155|nin
P01437562A0462|152 155|gen
P01329039A0239|153 160|protein
P01333047A0404|153 159|rotein
P00383169A0000|153 157|tive
P01328681A0149|153 157|tein
P01380825A0622|153 157|tein
P00722298A0619|153 156|can
P01398074A1081|153 156|ase
P01437562A0462|153 156|ene
P01294345A0591|153 156|tin
P01310899A0339|153 156|rin
P01375224A0152|153 156|ein
P01331086T0000|154 163|on factor
P01346262A0377|154 161|protein
P01329039A0239|154 160|rotein
P01333047A0404|154 159|otein
P00112627A0542|154 159|alpha
P01328854T0000|154 158|gene
P01360294A0000|154 158|vity
P01357190A0726|154 158|cell
P01328854T0000|154 157|gen
P01138330A0204|154 157|ide
P01471602A0362|154 157|tor
P01324404A0813|154 157|min
P01385462A0151|154 157|ter
P01328681A0149|154 157|ein
P01380825A0622|154 157|ein
P01398071A0526|155 165|polymerase
P01420363A0818|155 161|factor
P00837262A0000|155 161|rabbit
P01413984A0737|155 161|factor
P01346262A0377|155 161|rotein
P01423738A0639|155 160|delta
P01329039A0239|155 160|otein
